iter	Passed	Remaining
0	7	15586
1	13	13395
2	20	13780
3	25	12664
4	31	12452
5	36	12261
6	41	11855
7	46	11509
8	51	11444
9	55	11111
10	60	10852
11	65	10812
12	69	10613
13	73	10461
14	78	10349
15	83	10350
16	87	10259
17	92	10205
18	96	10113
19	101	10066
20	105	9951
21	109	9867
22	115	9896
23	119	9847
24	124	9800
25	128	9728
26	132	9662
27	135	9565
28	139	9483
29	143	9442
30	147	9397
31	151	9347
32	155	9292
33	159	9238
34	163	9188
35	167	9136
36	171	9107
37	175	9065
38	179	9032
39	183	8981
40	186	8933
41	191	8911
42	195	8884
43	198	8839
44	202	8792
45	206	8761
46	211	8778
47	215	8751
48	219	8720
49	222	8682
50	226	8674
51	231	8680
52	235	8648
53	239	8614
54	244	8657
55	250	8692
56	254	8659
57	258	8667
58	262	8651
59	266	8621
60	270	8591
61	274	8570
62	278	8547
63	281	8529
64	285	8496
65	289	8478
66	293	8461
67	296	8419
68	299	8391
69	303	8366
70	308	8374
71	311	8349
72	315	8323
73	318	8301
74	323	8294
75	327	8279
76	330	8260
77	334	8250
78	339	8257
79	343	8247
80	347	8236
81	351	8219
82	355	8217
83	359	8200
84	363	8179
85	366	8164
86	371	8171
87	375	8151
88	378	8134
89	382	8118
90	386	8102
91	389	8086
92	394	8093
93	398	8076
94	402	8066
95	405	8050
96	409	8037
97	413	8024
98	417	8010
99	421	8002
100	425	7991
101	428	7977
102	432	7964
103	436	7966
104	440	7952
105	444	7938
106	447	7923
107	452	7932
108	456	7923
109	460	7913
110	464	7903
111	468	7902
112	472	7889
113	476	7879
114	480	7871
115	484	7870
116	488	7856
117	492	7847
118	495	7836
119	499	7831
120	504	7826
121	507	7811
122	510	7797
123	514	7783
124	518	7784
125	522	7773
126	526	7758
127	529	7745
128	533	7742
129	537	7731
130	541	7721
131	544	7711
132	549	7708
133	553	7702
134	556	7692
135	560	7685
136	565	7683
137	569	7678
138	573	7673
139	577	7666
140	581	7667
141	585	7661
142	589	7661
143	594	7656
144	598	7657
145	602	7654
146	606	7646
147	610	7641
148	615	7644
149	619	7642
150	623	7634
151	627	7631
152	633	7645
153	637	7640
154	641	7637
155	646	7641
156	651	7645
157	655	7643
158	659	7636
159	664	7640
160	669	7642
161	672	7635
162	677	7631
163	681	7634
164	686	7632
165	690	7627
166	696	7645
167	700	7641
168	704	7630
169	708	7625
170	713	7629
171	717	7625
172	721	7621
173	725	7616
174	730	7615
175	734	7610
176	738	7605
177	743	7614
178	747	7607
179	751	7597
180	755	7592
181	761	7605
182	765	7599
183	769	7591
184	772	7582
185	777	7578
186	780	7568
187	784	7560
188	787	7550
189	792	7545
190	796	7540
191	800	7533
192	803	7527
193	808	7526
194	812	7522
195	816	7512
196	820	7507
