iter	Logloss
0	0.5485895597
1	0.4605278703
2	0.4036029851
3	0.3654339442
4	0.339480468
5	0.3219610649
6	0.3094360199
7	0.3015316983
8	0.2949842495
9	0.2904160282
10	0.2875808657
11	0.2854087786
12	0.2840212322
13	0.2828304707
14	0.2822150638
15	0.281320913
16	0.2799599291
17	0.27906787
18	0.2788807698
19	0.2784257421
20	0.2779411653
21	0.2771791901
22	0.2766515679
23	0.2756692332
24	0.2754193907
25	0.2752679832
26	0.2748247323
27	0.2742305428
28	0.2741351318
29	0.2734881781
30	0.2732441985
31	0.2731361809
32	0.272721015
33	0.2724133208
34	0.2721425711
35	0.2717974411
36	0.271720646
37	0.271613724
38	0.2712992073
39	0.2712319646
40	0.2710746449
41	0.2709692806
42	0.2708122048
43	0.2707664438
44	0.2705420448
45	0.2702620511
46	0.2699185754
47	0.2697546739
48	0.2696611212
49	0.2695736846
50	0.2695086611
51	0.2693520187
52	0.2693472169
53	0.2692436912
54	0.2690692001
55	0.2687152333
56	0.26864385
57	0.2686132656
58	0.2680003046
59	0.2678112024
60	0.2678055384
61	0.2676478422
62	0.2674651046
63	0.2671994135
64	0.2671021853
65	0.2670896994
66	0.2670494698
67	0.2662594727
68	0.2659844224
69	0.26575199
70	0.265402726
71	0.2653791422
72	0.2652361317
73	0.2648116363
74	0.2645929905
75	0.2641750976
76	0.2640423549
77	0.2639401907
78	0.26340521
79	0.2633168623
80	0.2630222994
81	0.2629803343
82	0.262569349
83	0.2624082516
84	0.2621218288
85	0.261783327
86	0.261546966
87	0.2613738814
88	0.2610657549
89	0.2606257703
90	0.2605367751
91	0.2603017335
92	0.2599658501
93	0.2596899827
94	0.2592620077
95	0.2591153391
96	0.258400624
97	0.2583970912
98	0.2583776852
99	0.2583752336
