법원,2023_회생(합의),2023_회생(단독),2023_회생(개인),2022_회생(합의),2022_회생(단독),2022_회생(개인),2023_회생(총합),2022_회생(총합)
합계,1024.0,578.0,121017.0,661.0,386.0,89966.0,122619.0,91013.0
서울,318.0,213.0,24817.0,229.0,129.0,18448.0,25348.0,18806.0
인천,18.0,15.0,10667.0,12.0,7.0,7445.0,10700.0,7464.0
대전,73.0,38.0,9944.0,53.0,27.0,7503.0,10055.0,7583.0
청주,15.0,3.0,3670.0,17.0,2.0,2784.0,3688.0,2803.0
대구,76.0,44.0,11425.0,63.0,44.0,8763.0,11545.0,8870.0
부산,94.0,66.0,10210.0,24.0,38.0,5505.0,10370.0,5567.0
울산,12.0,7.0,3850.0,9.0,9.0,3675.0,3869.0,3693.0
창원,48.0,35.0,4731.0,56.0,34.0,5236.0,4814.0,5326.0
광주,52.0,19.0,6043.0,23.0,8.0,4786.0,6114.0,4817.0
전주,69.0,16.0,3776.0,33.0,11.0,3020.0,3861.0,3064.0
제주,19.0,7.0,1721.0,6.0,6.0,1244.0,1747.0,1256.0
경기,227.0,112.0,26934.0,133.0,69.0,19123.0,27273.0,19325.0
강원,3.0,3.0,3229.0,3.0,2.0,2434.0,3235.0,2439.0
